date,code,name,store_name,value
2023-01-10,6,グロサリーギフト,ekimae,"16,645"
2023-01-10,7,銘店,inada,130
2023-01-10,7,銘店,otofuke,"4,776"
2023-01-10,7,銘店,ekimae,"14,436"
2023-01-10,8,米,inada,"117,563"
2023-01-10,8,米,otofuke,"60,790"
2023-01-10,8,米,ekimae,"108,135"
2023-01-10,55,タバコ,inada,"73,907"
2023-01-10,55,タバコ,otofuke,"29,458"
2023-01-10,55,タバコ,ekimae,"94,274"
2023-01-10,74,飲料,inada,"154,383"
2023-01-10,74,飲料,otofuke,"136,860"
2023-01-10,74,飲料,ekimae,"360,009"
2023-01-10,9,酒類,inada,"111,988"
2023-01-10,9,酒類,otofuke,"82,636"
2023-01-10,9,酒類,ekimae,"252,455"
2023-01-10,273,ワイン,inada,"14,259"
2023-01-10,273,ワイン,otofuke,"17,113"
2023-01-10,273,ワイン,ekimae,"107,391"
2023-01-10,274,ビール類,inada,"126,571"
2023-01-10,274,ビール類,otofuke,"86,214"
2023-01-10,274,ビール類,ekimae,"195,301"
2023-01-11,1,菓　子,inada,"198,519"
2023-01-11,1,菓　子,otofuke,"143,220"
2023-01-11,1,菓　子,ekimae,"448,307"
2023-01-11,2,嗜好品,inada,"56,378"
2023-01-11,2,嗜好品,otofuke,"54,938"
2023-01-11,2,嗜好品,ekimae,"160,298"
2023-01-11,3,調味料,inada,"131,011"
2023-01-11,3,調味料,otofuke,"125,009"
2023-01-11,3,調味料,ekimae,"192,137"
2023-01-11,4,調理素材,inada,"20,297"
2023-01-11,4,調理素材,otofuke,"18,808"
2023-01-11,4,調理素材,ekimae,"42,010"
2023-01-11,5,クイックフーズ,inada,"138,851"
2023-01-11,5,クイックフーズ,otofuke,"131,632"
2023-01-11,5,クイックフーズ,ekimae,"238,712"
2023-01-11,6,グロサリーギフト,inada,"2,000"
2023-01-11,6,グロサリーギフト,otofuke,0
2023-01-11,6,グロサリーギフト,ekimae,"1,200"
2023-01-11,7,銘店,inada,"2,730"
2023-01-11,7,銘店,otofuke,"8,120"
2023-01-11,7,銘店,ekimae,"19,564"
2023-01-11,8,米,inada,"64,664"
2023-01-11,8,米,otofuke,"52,473"
2023-01-11,8,米,ekimae,"57,570"
2023-01-11,55,タバコ,inada,"67,390"
2023-01-11,55,タバコ,otofuke,"20,614"
2023-01-11,55,タバコ,ekimae,"77,136"
2023-01-11,74,飲料,inada,"111,472"
2023-01-11,74,飲料,otofuke,"112,237"
2023-01-11,74,飲料,ekimae,"270,390"
2023-01-11,9,酒類,inada,"75,908"
2023-01-11,9,酒類,otofuke,"76,267"
2023-01-11,9,酒類,ekimae,"158,795"
2023-01-11,273,ワイン,inada,"15,669"
2023-01-11,273,ワイン,otofuke,"7,198"
2023-01-11,273,ワイン,ekimae,"50,396"
2023-01-11,274,ビール類,inada,"77,673"
2023-01-11,274,ビール類,otofuke,"92,293"
2023-01-11,274,ビール類,ekimae,"172,519"
2023-01-12,1,菓　子,inada,"241,111"
2023-01-12,1,菓　子,otofuke,"214,505"
2023-01-12,1,菓　子,ekimae,"504,525"
2023-01-12,2,嗜好品,inada,"159,875"
2023-01-12,2,嗜好品,otofuke,"76,287"
2023-01-12,2,嗜好品,ekimae,"172,514"
2023-01-12,3,調味料,inada,"264,382"
2023-01-12,3,調味料,otofuke,"197,293"
2023-01-12,3,調味料,ekimae,"194,917"
2023-01-12,4,調理素材,inada,"40,596"
2023-01-12,4,調理素材,otofuke,"25,933"
2023-01-12,4,調理素材,ekimae,"42,712"
2023-01-12,5,クイックフーズ,inada,"236,677"
2023-01-12,5,クイックフーズ,otofuke,"236,410"
2023-01-12,5,クイックフーズ,ekimae,"226,042"
2023-01-12,6,グロサリーギフト,inada,"1,900"
2023-01-12,6,グロサリーギフト,otofuke,"3,420"
2023-01-12,7,銘店,inada,700
2023-01-12,7,銘店,otofuke,"23,550"
2023-01-12,7,銘店,ekimae,"91,292"
2023-01-12,8,米,inada,"128,674"
2023-01-12,8,米,otofuke,"139,181"
2023-01-12,8,米,ekimae,"34,189"
2023-01-12,55,タバコ,inada,"54,218"
2023-01-12,55,タバコ,otofuke,"37,051"
2023-01-12,55,タバコ,ekimae,"72,405"
2023-01-12,74,飲料,inada,"220,174"
